person_id,age_group,hours_of_sleep,exercise_per_week,income_satisfaction,social_interactions_per_week,stress_level,diet_quality_score,screen_time_hours,urban_rural,employment_status,relationship_status,religious_affiliation,political_alignment,sexual_orientation,music_listening_hours,favorite_tv_genre,pet_ownership,region,happiness_score,high_stress,depression_risk
54,26–40,5.8,1,7.6,8,9.9,2.8,6.6,suburban,employed,divorced,hindu,center,heterosexual,2.2,news,yes,north,1.5,yes,high
55,41–60,6.5,5,8.6,11,4.4,8.7,2.5,suburban,student,widowed,christian,left,other,3.5,sports,no,west,8.6,no,low
56,18–25,5.5,5,8.3,5,4.6,6.3,-0.0,suburban,retired,married,other,right,other,1.4,sports,yes,north,7.7,no,low
57,26–40,7.5,5,9.8,5,5.9,9.4,7.1,urban,unemployed,widowed,hindu,left,heterosexual,2.1,news,yes,west,7.7,no,low
58,26–40,8.5,1,5.4,3,8.4,6.9,1.6,urban,retired,divorced,other,other,heterosexual,1.2,sports,no,north,4.6,yes,medium
59,41–60,6.3,5,2.3,3,6.9,7.7,6.6,urban,retired,single,none,right,bisexual,2.3,reality,yes,west,4.9,no,medium
60,18–25,7.9,2,6.9,1,6.2,3.0,6.0,urban,employed,divorced,christian,other,heterosexual,0.7,reality,no,north,3.0,no,high
61,41–60,6.1,6,1.6,4,6.8,4.1,4.1,urban,employed,divorced,hindu,left,other,0.7,comedy,no,south,5.7,no,medium
62,18–25,7.8,0,9.8,4,5.2,3.7,3.0,urban,unemployed,divorced,christian,right,heterosexual,2.6,drama,yes,west,3.7,no,high
63,18–25,4.3,2,7.8,4,7.8,7.2,5.7,suburban,student,divorced,christian,center,bisexual,0.9,reality,no,south,4.8,yes,medium
64,41–60,8.8,0,9.8,6,1.7,4.7,4.2,suburban,unemployed,single,christian,left,homosexual,3.8,reality,no,south,4.6,no,medium
65,26–40,5.7,6,4.4,6,5.6,8.7,6.8,rural,unemployed,single,other,left,homosexual,3.8,comedy,no,south,4.3,no,medium
66,41–60,7.2,3,1.1,2,8.3,2.9,4.8,suburban,employed,single,christian,right,bisexual,0.8,reality,yes,south,5.5,yes,medium
67,26–40,8.7,6,5.7,5,3.7,8.2,6.7,urban,unemployed,single,none,right,other,4.7,reality,yes,north,7.6,no,low
68,26–40,5.6,5,2.1,5,8.6,8.3,5.2,suburban,unemployed,married,hindu,other,homosexual,1.9,news,yes,south,6.1,yes,medium
69,41–60,9.1,6,7.1,6,8.0,6.7,6.0,suburban,student,widowed,muslim,center,bisexual,2.0,comedy,no,west,7.8,yes,low
70,26–40,9.5,2,5.5,7,6.2,2.3,4.5,urban,unemployed,married,christian,left,homosexual,3.0,sports,yes,west,4.3,no,medium
71,18–25,7.8,3,7.8,10,3.3,3.9,3.9,urban,student,divorced,hindu,center,other,3.7,sports,yes,north,3.2,no,high
72,18–25,7.0,6,3.6,4,8.7,4.6,3.4,rural,unemployed,divorced,other,center,other,3.6,drama,yes,east,8.0,yes,low
73,18–25,6.8,1,8.5,6,1.3,5.2,2.6,urban,employed,divorced,other,center,other,4.5,drama,yes,east,8.6,no,low
74,26–40,7.7,5,6.9,7,6.3,7.6,3.8,suburban,unemployed,divorced,christian,right,heterosexual,2.5,reality,yes,west,6.9,no,medium
75,60+,7.9,6,9.9,3,8.0,4.0,2.5,rural,student,married,christian,center,other,2.5,reality,yes,north,5.1,yes,medium
76,41–60,4.6,3,2.6,3,5.4,1.2,3.4,suburban,retired,single,none,other,other,2.5,sports,yes,north,2.9,no,high
77,60+,6.7,4,1.5,5,1.9,8.8,4.4,urban,student,divorced,muslim,center,other,2.2,comedy,no,south,8.0,no,low
78,60+,6.3,2,8.7,5,8.5,4.9,4.8,rural,unemployed,married,christian,right,homosexual,0.3,news,yes,south,4.9,yes,medium
79,26–40,6.1,5,4.0,4,9.2,3.5,6.1,urban,unemployed,married,christian,right,bisexual,-0.5,drama,yes,west,4.1,yes,medium
80,18–25,6.1,5,4.9,6,6.1,8.4,4.4,rural,unemployed,divorced,none,center,bisexual,0.8,reality,no,east,4.9,no,medium
81,26–40,5.4,0,9.3,5,8.1,8.9,4.7,urban,student,divorced,other,other,other,3.0,drama,yes,east,5.5,yes,medium
82,41–60,8.9,3,5.0,4,6.5,7.6,3.7,urban,student,married,muslim,left,homosexual,1.8,sports,yes,north,5.1,no,medium
83,26–40,6.3,5,3.7,7,6.2,4.2,4.0,urban,employed,widowed,other,left,bisexual,0.7,comedy,no,east,6.8,no,medium
84,26–40,6.8,5,1.5,5,2.2,3.1,4.1,urban,unemployed,married,christian,other,homosexual,3.4,sports,yes,north,6.0,no,medium
85,18–25,6.6,2,5.0,4,4.9,7.4,7.2,urban,retired,widowed,muslim,right,bisexual,1.3,news,no,north,8.1,no,low
86,26–40,6.3,0,6.9,7,7.1,1.5,4.6,suburban,student,divorced,christian,center,heterosexual,-0.7,comedy,no,east,1.4,yes,high
87,26–40,7.5,5,3.4,6,5.1,4.5,2.2,suburban,student,single,none,left,other,0.5,news,yes,north,8.6,no,low
88,26–40,6.6,5,7.5,5,6.6,7.8,4.3,suburban,student,single,none,left,homosexual,1.3,news,yes,north,5.8,no,medium
89,41–60,7.7,2,5.3,4,9.1,6.3,2.7,rural,student,widowed,other,center,homosexual,1.0,comedy,no,north,4.5,yes,medium
90,18–25,8.9,6,8.7,7,4.3,7.6,3.0,urban,retired,divorced,hindu,left,heterosexual,1.9,news,yes,west,6.6,no,medium
91,60+,5.7,2,2.5,4,8.5,6.2,4.1,urban,employed,divorced,other,left,bisexual,2.3,drama,no,north,2.9,yes,high
92,18–25,7.4,6,7.8,8,1.3,3.2,4.7,suburban,retired,widowed,muslim,right,homosexual,2.4,reality,no,west,5.6,no,medium
93,60+,7.4,4,9.4,1,8.7,5.3,4.6,urban,retired,single,none,left,other,1.8,comedy,yes,south,3.6,yes,high
94,26–40,5.6,3,7.7,8,2.0,8.0,3.0,urban,student,married,other,left,heterosexual,3.2,sports,yes,east,7.2,no,low
95,41–60,7.8,6,4.7,1,3.9,3.1,1.7,suburban,student,widowed,none,right,other,3.3,sports,yes,east,9.0,no,low
96,18–25,6.7,4,3.1,6,5.6,9.7,3.8,urban,unemployed,divorced,hindu,left,bisexual,2.6,reality,yes,north,7.8,no,low
97,41–60,8.9,1,1.9,2,6.9,2.8,3.9,suburban,employed,divorced,other,right,other,3.2,sports,yes,east,4.4,no,medium
98,41–60,8.2,5,6.8,6,9.6,1.1,3.9,urban,employed,single,none,center,heterosexual,0.3,reality,yes,east,3.9,yes,high
99,18–25,7.0,2,2.3,6,3.8,8.0,4.3,rural,employed,widowed,christian,left,heterosexual,-0.4,drama,yes,south,9.0,no,low
100,18–25,6.7,6,8.5,6,1.8,9.4,3.4,urban,unemployed,widowed,hindu,left,homosexual,0.8,sports,yes,south,8.5,no,low
101,26–40,9.1,3,9.6,3,5.1,3.2,5.4,suburban,employed,widowed,christian,other,other,2.4,sports,yes,west,5.0,no,medium
102,18–25,6.3,6,2.2,6,4.1,2.4,5.0,rural,retired,divorced,muslim,other,other,3.2,drama,yes,south,7.0,no,low
103,18–25,7.3,1,4.4,5,6.4,3.0,5.2,urban,student,married,hindu,other,bisexual,0.7,sports,yes,south,4.6,no,medium
104,41–60,6.9,5,9.4,1,9.3,6.7,6.2,urban,retired,widowed,none,right,homosexual,2.5,sports,yes,south,6.0,yes,medium
105,18–25,8.4,1,5.2,8,6.8,6.2,4.7,suburban,retired,married,christian,left,bisexual,3.2,drama,no,north,7.5,no,low
106,41–60,8.5,4,5.8,4,6.2,6.6,4.1,suburban,employed,divorced,muslim,left,bisexual,1.5,drama,no,west,4.6,no,medium
107,41–60,7.7,1,7.7,4,3.2,1.1,3.8,suburban,student,married,christian,other,heterosexual,1.4,drama,yes,east,3.2,no,high
108,41–60,6.4,6,2.9,3,3.4,2.4,5.1,suburban,employed,married,hindu,right,heterosexual,2.9,sports,yes,south,7.0,no,low
109,18–25,6.8,0,9.8,5,4.9,3.2,4.1,rural,employed,married,christian,other,homosexual,1.1,reality,no,west,4.9,no,medium
110,26–40,5.5,0,8.0,5,9.0,7.3,1.3,suburban,student,divorced,christian,left,bisexual,1.1,reality,no,west,1.9,yes,high
111,26–40,7.3,0,2.5,3,6.2,6.5,3.1,urban,unemployed,divorced,other,right,other,1.6,comedy,no,south,7.2,no,low
112,26–40,6.0,5,2.0,6,5.5,6.6,6.2,suburban,unemployed,divorced,none,other,other,1.7,comedy,yes,east,6.6,no,medium
113,26–40,9.7,1,9.4,1,5.9,6.1,1.2,urban,unemployed,married,christian,left,heterosexual,1.5,sports,yes,north,4.6,no,medium
114,60+,6.3,5,7.2,3,8.5,7.7,4.5,suburban,student,single,other,other,bisexual,-1.5,sports,yes,west,5.1,yes,medium
115,41–60,8.2,5,1.3,7,7.1,9.5,4.8,urban,retired,single,none,center,heterosexual,2.1,reality,yes,east,3.7,yes,high
116,18–25,8.8,2,2.3,3,9.3,7.1,3.9,suburban,retired,single,hindu,right,heterosexual,3.8,news,yes,south,5.3,yes,medium
117,26–40,8.0,3,1.4,5,6.2,7.7,3.0,suburban,student,married,hindu,center,homosexual,1.8,comedy,yes,west,4.1,no,medium
118,26–40,6.4,0,9.8,5,2.8,6.5,2.4,suburban,employed,single,other,center,bisexual,0.8,reality,no,north,4.9,no,medium
119,60+,6.3,0,5.5,4,1.2,8.2,4.3,suburban,employed,divorced,other,right,heterosexual,2.9,sports,yes,west,6.1,no,medium
120,60+,10.5,0,5.2,6,3.9,9.5,3.5,rural,student,married,hindu,center,bisexual,1.5,comedy,yes,west,9.7,no,low
121,26–40,9.4,4,9.6,2,1.6,6.4,6.3,rural,employed,widowed,muslim,other,bisexual,1.2,comedy,yes,west,9.8,no,low
122,26–40,7.4,4,5.5,3,4.7,2.6,4.7,suburban,employed,single,none,left,bisexual,3.2,comedy,yes,north,2.2,no,high
123,26–40,6.6,6,5.7,7,2.7,7.9,3.4,suburban,unemployed,married,none,right,other,1.4,sports,yes,north,6.2,no,medium
124,26–40,6.0,6,9.9,0,4.6,6.9,4.4,urban,student,widowed,other,other,heterosexual,2.3,reality,no,east,7.0,no,low
125,18–25,6.3,0,2.0,5,4.6,9.4,3.0,urban,unemployed,married,none,left,bisexual,3.3,news,yes,east,5.4,no,medium
126,41–60,7.9,0,9.9,5,3.5,3.4,3.7,urban,retired,widowed,muslim,center,homosexual,2.1,sports,no,west,6.8,no,medium
127,26–40,9.8,5,2.5,4,6.9,9.7,1.3,suburban,retired,divorced,none,right,homosexual,1.5,comedy,yes,east,5.7,no,medium
128,41–60,6.9,4,5.3,2,4.9,6.0,3.5,suburban,retired,married,other,center,heterosexual,2.6,drama,yes,south,5.7,no,medium
129,26–40,8.4,3,4.0,5,9.0,9.7,4.8,urban,retired,divorced,christian,left,homosexual,-0.8,reality,yes,north,4.4,yes,medium
130,41–60,8.1,2,9.6,6,1.7,8.1,3.7,urban,employed,divorced,christian,right,other,2.9,sports,yes,south,7.4,no,low
131,41–60,6.6,3,5.4,4,4.7,8.8,5.3,rural,employed,widowed,other,other,homosexual,1.1,comedy,yes,north,5.6,no,medium
132,26–40,8.2,5,1.2,6,8.0,3.9,5.9,suburban,unemployed,single,christian,center,heterosexual,2.1,news,yes,north,6.4,yes,medium
133,41–60,8.2,2,3.0,8,5.5,3.0,5.1,urban,student,widowed,none,other,bisexual,2.1,comedy,yes,north,4.2,no,medium
134,26–40,8.1,1,4.9,4,9.7,6.6,7.0,urban,employed,single,other,other,other,2.4,comedy,yes,north,3.1,yes,high
135,18–25,6.5,1,7.1,4,2.6,4.4,5.6,urban,student,widowed,other,other,heterosexual,2.4,sports,yes,north,9.0,no,low
136,18–25,7.9,3,6.1,6,3.8,9.9,4.1,rural,unemployed,married,other,right,heterosexual,1.0,news,yes,north,9.1,no,low
137,18–25,8.4,4,8.6,11,2.0,5.5,3.7,urban,retired,single,christian,center,homosexual,1.3,drama,yes,west,8.8,no,low
138,18–25,8.1,6,8.5,6,3.2,2.0,3.4,rural,employed,married,hindu,other,heterosexual,1.0,sports,yes,north,5.6,no,medium
139,41–60,8.3,6,6.3,10,7.1,5.5,2.9,urban,retired,widowed,christian,left,bisexual,1.5,reality,yes,east,4.6,yes,medium
140,26–40,6.8,0,6.1,4,5.4,5.8,4.5,rural,unemployed,divorced,other,right,heterosexual,0.0,news,no,west,1.5,no,high
141,18–25,8.3,1,3.5,3,2.5,1.0,3.5,rural,student,widowed,none,other,heterosexual,-1.2,drama,yes,east,5.7,no,medium
142,41–60,8.5,5,9.6,9,5.3,3.2,2.0,suburban,employed,married,hindu,other,bisexual,2.5,drama,no,south,7.0,no,low
143,41–60,6.5,6,1.7,12,8.6,1.0,5.2,rural,student,widowed,other,center,heterosexual,3.8,news,yes,north,3.0,yes,high
144,26–40,5.3,4,4.6,5,5.0,6.0,3.1,suburban,student,divorced,christian,other,bisexual,0.7,reality,yes,south,6.1,no,medium
145,18–25,9.0,4,6.9,4,1.1,3.6,1.7,urban,retired,divorced,muslim,other,bisexual,2.8,comedy,no,east,4.6,no,medium
146,18–25,6.4,2,9.5,6,1.5,2.6,5.7,rural,employed,widowed,other,other,homosexual,0.4,sports,yes,west,10.0,no,low
147,26–40,6.1,1,5.5,4,4.9,8.5,5.7,urban,unemployed,widowed,none,center,heterosexual,2.0,reality,yes,south,3.8,no,high
148,41–60,7.3,3,9.1,5,6.3,1.3,2.3,suburban,employed,married,muslim,other,other,2.7,drama,yes,south,3.0,no,high
149,18–25,6.7,5,1.9,5,9.0,7.2,3.2,urban,student,divorced,muslim,left,other,4.1,reality,yes,north,4.0,yes,medium
150,26–40,4.7,4,5.8,3,9.8,6.2,2.8,urban,retired,single,christian,right,bisexual,2.1,comedy,no,south,5.4,yes,medium
151,60+,8.1,3,3.8,6,9.8,7.9,3.0,suburban,student,married,christian,other,heterosexual,0.6,reality,yes,south,6.1,yes,medium
152,26–40,8.0,3,8.2,2,6.0,2.2,0.9,urban,student,single,hindu,center,homosexual,2.0,reality,yes,south,5.1,no,medium
153,26–40,5.8,5,5.0,6,1.3,8.8,3.4,suburban,employed,divorced,other,left,homosexual,2.2,drama,yes,east,10.0,no,low
154,41–60,7.0,1,5.3,7,2.9,3.9,3.4,urban,student,divorced,hindu,right,homosexual,4.9,reality,yes,north,5.8,no,medium
155,41–60,5.8,5,1.6,3,4.9,1.1,6.4,rural,employed,married,hindu,center,bisexual,4.7,sports,no,north,5.5,no,medium
156,26–40,6.0,3,4.9,5,8.9,6.9,4.2,urban,employed,divorced,muslim,center,homosexual,2.8,news,no,north,5.3,yes,medium
157,41–60,6.3,6,1.7,4,1.2,8.7,3.2,urban,student,single,christian,right,other,1.3,drama,yes,west,7.2,no,low
158,26–40,7.6,3,3.7,6,5.6,4.2,4.3,urban,retired,widowed,muslim,right,heterosexual,2.2,news,yes,north,2.8,no,high
159,41–60,9.4,0,2.1,5,6.9,5.7,2.0,suburban,student,married,other,center,heterosexual,0.6,reality,yes,east,4.4,no,medium
160,60+,6.5,6,4.0,3,3.6,4.7,4.1,urban,retired,widowed,hindu,left,other,1.0,comedy,yes,north,3.9,no,high
161,26–40,8.0,6,3.0,6,3.8,1.4,3.0,suburban,student,widowed,hindu,left,bisexual,3.4,drama,yes,south,7.7,no,low
162,26–40,8.0,5,3.6,4,4.5,7.8,4.2,suburban,unemployed,married,other,left,heterosexual,3.1,reality,yes,east,7.5,no,low
163,26–40,4.4,3,2.3,11,3.5,9.5,4.7,urban,unemployed,single,hindu,right,bisexual,2.7,reality,no,south,4.7,no,medium
164,41–60,5.3,0,5.0,5,4.9,4.8,3.2,rural,unemployed,divorced,christian,other,homosexual,1.4,comedy,yes,east,3.5,no,high
165,41–60,9.5,1,5.5,10,2.4,2.3,4.4,urban,student,divorced,christian,center,bisexual,-0.1,reality,no,north,6.6,no,medium
166,18–25,6.4,3,8.5,4,2.8,5.5,3.0,suburban,student,married,hindu,left,other,1.9,sports,no,west,6.9,no,medium
167,41–60,7.5,4,5.8,9,1.3,9.1,2.4,suburban,retired,single,other,other,bisexual,0.7,comedy,yes,north,8.2,no,low
168,41–60,7.4,5,3.1,4,4.7,6.5,5.4,urban,unemployed,married,muslim,right,heterosexual,0.9,drama,no,east,4.2,no,medium
169,41–60,4.4,3,7.6,6,7.4,2.9,5.5,suburban,employed,married,hindu,center,heterosexual,2.7,drama,yes,north,0.9,yes,high
170,41–60,6.2,0,3.7,5,5.6,6.0,4.3,suburban,unemployed,divorced,none,other,homosexual,4.9,news,yes,east,3.8,no,high
171,18–25,7.9,4,7.8,5,5.8,3.9,5.2,suburban,unemployed,married,christian,center,heterosexual,1.9,sports,yes,north,6.6,no,medium
172,26–40,5.9,1,4.5,4,5.0,1.2,1.7,urban,employed,single,none,right,other,2.2,sports,yes,east,3.2,no,high
173,41–60,6.5,5,5.6,3,6.3,9.2,5.2,rural,unemployed,single,none,right,other,0.8,drama,no,west,7.8,no,low
174,60+,5.6,2,5.5,8,3.1,8.2,6.1,urban,unemployed,single,none,left,heterosexual,1.0,reality,no,north,8.5,no,low
175,18–25,6.0,2,9.6,12,2.9,9.3,4.9,suburban,retired,single,hindu,center,heterosexual,1.9,sports,no,north,5.4,no,medium
176,26–40,6.4,0,2.4,9,9.5,7.1,3.8,urban,unemployed,divorced,hindu,center,heterosexual,-1.1,sports,yes,east,1.2,yes,high
177,41–60,4.8,1,9.4,5,5.1,5.0,2.0,suburban,employed,divorced,none,other,heterosexual,0.8,reality,yes,south,5.7,no,medium
178,41–60,8.4,1,6.1,5,8.4,5.4,4.8,urban,employed,divorced,hindu,center,homosexual,2.7,comedy,yes,north,8.4,yes,low
179,26–40,5.3,3,9.9,0,9.3,2.8,4.8,rural,unemployed,divorced,none,center,homosexual,4.0,reality,no,west,3.2,yes,high
180,18–25,6.8,2,6.2,3,6.5,4.5,5.6,suburban,student,single,none,other,homosexual,2.5,news,no,east,3.6,no,high
181,41–60,6.1,3,6.9,4,3.7,2.5,3.5,suburban,unemployed,single,muslim,left,homosexual,1.1,news,yes,north,7.0,no,low
182,41–60,8.3,1,7.7,5,7.1,5.3,3.1,urban,employed,married,muslim,center,homosexual,0.5,drama,yes,north,5.5,yes,medium
183,41–60,5.5,0,8.4,6,4.9,6.8,2.9,suburban,employed,married,muslim,other,heterosexual,1.7,comedy,yes,south,4.8,no,medium
184,41–60,6.1,0,5.3,9,9.8,3.3,2.6,urban,employed,divorced,other,right,bisexual,1.8,sports,no,west,2.3,yes,high
185,26–40,5.4,4,7.1,6,8.3,9.5,4.7,urban,student,married,christian,left,homosexual,1.0,drama,yes,east,5.2,yes,medium
186,60+,4.1,6,6.5,4,8.3,6.8,3.9,urban,student,divorced,hindu,other,bisexual,2.9,drama,no,south,3.5,yes,high
187,41–60,7.6,0,4.7,6,6.3,3.0,4.7,rural,student,divorced,muslim,center,homosexual,0.4,sports,yes,north,7.4,no,low
188,26–40,7.0,6,8.4,5,1.1,2.5,4.2,suburban,unemployed,divorced,christian,left,bisexual,1.2,sports,no,east,6.0,no,medium
189,60+,7.3,2,2.7,6,8.5,2.5,3.4,suburban,employed,widowed,christian,left,heterosexual,1.6,reality,yes,south,0.0,yes,high
190,60+,8.0,4,2.5,9,1.2,9.8,2.7,suburban,unemployed,married,hindu,left,heterosexual,4.6,news,yes,west,8.0,no,low
191,41–60,7.1,2,7.6,8,2.1,3.1,6.0,suburban,unemployed,married,other,right,other,3.1,sports,yes,west,6.4,no,medium
192,26–40,6.5,3,6.7,8,8.5,2.5,4.3,suburban,student,divorced,none,other,heterosexual,2.5,reality,yes,west,6.2,yes,medium
193,26–40,7.3,6,3.9,3,3.0,2.5,5.8,suburban,unemployed,single,muslim,left,other,2.9,news,no,east,5.8,no,medium
194,26–40,6.4,3,6.7,8,8.6,4.1,4.7,urban,retired,widowed,other,center,bisexual,2.3,comedy,yes,north,2.1,yes,high
195,26–40,8.3,0,7.9,4,3.1,6.5,3.5,urban,student,married,hindu,center,homosexual,2.3,comedy,yes,north,7.7,no,low
196,26–40,6.6,4,3.0,5,7.9,1.7,3.4,rural,student,single,other,center,heterosexual,1.8,comedy,yes,south,3.0,yes,high
